Ad_ID,Advertiser,State,Date_Aired,Nostalgia_Binary,Transcript
H_268,Harris Campaign,North Carolina,2024-09-05,0,America Forward Tax Credits for businesses that invest in key strategic industries. Steel. Biotechnology. AI. Semiconductors.
H_243,Harris Campaign,North Carolina,2024-11-03,0,"Trump wants to give tax breaks to billionaires, but I have plans to help working families. I'm going to crack down on price gouging."
T_001,Trump Campaign,Nevada,2024-09-01,1,"Under Trump, America was energy independent for the first time in decades. Gas was cheap. Families could afford to fill their tanks. Let's bring that back."
H_279,Harris Campaign,Pennsylvania,2024-09-16,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_364,Harris Campaign,Wisconsin,2024-10-17,0,"I will never forget what Donald Trump did when Hurricane Maria devastated Puerto Rico. As president, I will always fight for you."
M_203,MAGA Inc,Georgia,2024-10-02,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
F_449,FF PAC,Arizona,2024-09-24,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
M_139,MAGA Inc,Nevada,2024-11-01,1,Bring back American strength. Bring back American jobs. Bring back American values. Only one candidate fought for you before and will fight for you again.
H_307,Harris Campaign,Nevada,2024-11-05,0,"Kamala Harris was the deciding vote on the Inflation Reduction Act, which raised the tax burden on the middle class. Trump will end taxes on tips and overtime."
H_237,Harris Campaign,Georgia,2024-09-28,0,Trump had four years and he didn't fix healthcare. Harris will actually protect your coverage and lower your costs.
H_387,Harris Campaign,Wisconsin,2024-11-05,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
M_202,MAGA Inc,Nevada,2024-09-19,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
H_330,Harris Campaign,Michigan,2024-11-04,0,"The cost of living in America is still too high. You know it and I know it. We need new solutions, not old approaches."
H_300,Harris Campaign,Pennsylvania,2024-10-20,0,Trump's billionaire friends get richer while you pay more. Kamala Harris will cap the price of insulin at $35 a month.
M_182,MAGA Inc,Michigan,2024-11-01,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity.
T_046,Trump Campaign,North Carolina,2024-11-04,1,Remember when gas was under two dollars? Remember when you could afford groceries? Remember when the border was secure? Trump delivered once. He'll deliver again.
T_009,Trump Campaign,Nevada,2024-11-03,1,We created 7 million new jobs. It led to growth like we've never seen before. We created the greatest economy in history by far. We can do it again.
H_366,Harris Campaign,Nevada,2024-09-17,0,I'm a construction worker. I voted Trump twice. But his tariffs hurt my business. I'm voting Harris because she has a plan.
T_026,Trump Campaign,Michigan,2024-09-04,1,The greatest economic recovery in American history happened under President President Trump. Jobs came roaring back. We can do it again. I'm Donald Trump and I approve this message.
H_254,Harris Campaign,Nevada,2024-09-27,0,"When I look at the aspirations of the American people, I think people are looking for a new way forward."
T_060,Trump Campaign,North Carolina,2024-09-03,1,"Under President President Trump, we achieved energy dominance. Gas prices fell. Utility bills dropped. American energy workers thrived. We'll do it again."
T_002,Trump Campaign,Pennsylvania,2024-11-05,1,"This will truly be the golden age of America. We will help our country heal. Because together, we can truly make America great again for all Americans."
M_172,MAGA Inc,Arizona,2024-11-05,1,We created 7 million new jobs. It led to growth like we've never seen before. We created the greatest economy in history by far. We can do it again.
H_351,Harris Campaign,Michigan,2024-10-25,0,Donald Trump's tariff policies are a massive tax on the American people. Working Americans would pay for it.
H_316,Harris Campaign,Arizona,2024-11-03,0,Donald Trump's tariff policies are a massive tax on the American people. Working Americans would pay for it.
M_145,MAGA Inc,Nevada,2024-09-14,1,We built the greatest economy in history. We can do it again. It's time to bring it all back. Make America Great Again. I'm Donald Trump and I approve this message.
M_183,MAGA Inc,Pennsylvania,2024-10-28,1,Wages rose faster than they had in decades. Working families got ahead. The middle class grew stronger. President Trump will restore that growth.
T_055,Trump Campaign,Arizona,2024-09-29,1,"Four years ago, our country was feared and respected around the world. We will soon have that back. America is coming back stronger than ever."
H_220,Harris Campaign,Michigan,2024-11-03,1,The stock market hit record highs. 401ks soared. Retirement dreams became reality. We can bring back that prosperity.
H_293,Harris Campaign,Georgia,2024-11-04,0,"We're not going back. We are fighting for our future and not letting some people take us back. In America, freedom is ours by right."
H_242,Harris Campaign,Nevada,2024-10-19,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_313,Harris Campaign,Nevada,2024-09-03,0,Donald Trump was found liable for fraud. He's been indicted on 91 felony counts. Is this who you want leading America?
M_162,MAGA Inc,Michigan,2024-10-15,1,President Trump rebuilt our military and restored American strength around the world. Our allies respected us. Our enemies feared us. We'll have that again.
H_318,Harris Campaign,Georgia,2024-09-25,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
H_338,Harris Campaign,Michigan,2024-10-04,0,Trump wants a massive sales tax on everything you buy. His tariffs will cost your family thousands.
H_334,Harris Campaign,North Carolina,2024-11-01,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
T_021,Trump Campaign,North Carolina,2024-09-22,1,"Return to peace through strength. Four years ago, our country was feared and respected. Under Trump, America will soon be feared and respected again."
H_290,Harris Campaign,North Carolina,2024-10-13,0,"At the end of the day, it comes down to this: who will fight for you? Kamala Harris has spent her career fighting for working people."
M_174,MAGA Inc,Georgia,2024-10-20,1,We had the strongest economy in the history of our country. Record low unemployment. Rising wages. We're going to bring all of that back.
H_238,Harris Campaign,Nevada,2024-11-04,0,America Forward Tax Credits for businesses that invest in key strategic industries. Steel. Biotechnology. AI. Semiconductors.
T_123,Trump Campaign,Michigan,2024-09-13,0,Donald Trump brags about overturning Roe. Now women are being turned away from emergency rooms. Harris will restore reproductive rights.
M_169,MAGA Inc,Pennsylvania,2024-09-08,1,We built the greatest economy in history. We can do it again. It's time to bring it all back. Make America Great Again.
F_443,FF PAC,Georgia,2024-10-12,0,I intend to chart a new way forward and grow America's middle class. Donald Trump intends to take America backward to the failed policies of the past.
H_319,Harris Campaign,Pennsylvania,2024-11-01,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
M_192,MAGA Inc,Michigan,2024-09-15,0,Kamala Harris will fight to cap prescription drug prices. Medicare can finally negotiate. That's change that helps real people.
H_267,Harris Campaign,North Carolina,2024-11-01,0,"I'm a lifelong Republican and I voted for Trump twice, but I can't do it again. His tariffs made everything more expensive."
